Date,Valeur AEN
2025-02-01,10505.833857711194
2025-03-01,11220.73322900998
2025-04-01,11492.993283285243
2025-05-01,11756.646391355542
2025-06-01,11922.149284029998
2025-07-01,12071.785539496872
2025-08-01,12093.1304603807
2025-09-01,11978.66010084292
2025-10-01,12141.70795508039
2025-11-01,12310.187946616606
2025-12-01,12473.207150232905
